,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
83,2007-06-11,85.5,61.5,73.5,5,51.5,61.0,0.0,29.439999999999998,30.1,5.75,10.0,7.65
85,2007-06-12,82.5,64.0,73.5,5,50.5,60.5,0.0,29.465,30.15,8.850000000000001,5.0,9.4
87,2007-06-13,86.5,64.0,75.5,6,53.0,62.0,0.0,29.36,30.09,7.1,5.0,8.6
89,2007-06-14,89.0,66.0,78.0,9,54.5,63.5,0.0,29.33,30.009999999999998,5.75,6.0,6.6
91,2007-06-15,90.0,65.0,77.5,9,56.0,64.5,0.0,29.310000000000002,29.979999999999997,3.9499999999999997,7.5,4.5
93,2007-06-16,92.5,67.0,80.0,11,60.5,67.5,0.005,29.295,29.965,3.45,25.0,5.949999999999999
95,2007-06-17,91.0,70.5,81.0,12,64.5,70.0,0.08,29.255000000000003,29.939999999999998,3.4,11.0,6.199999999999999
97,2007-06-18,89.0,71.0,80.0,9,65.0,70.0,0.15000000000000002,29.155,29.835,13.1,20.0,13.85
99,2007-06-19,80.5,65.0,73.0,3,55.0,63.0,0.755,29.285,29.939999999999998,10.399999999999999,28.5,11.350000000000001
101,2007-06-20,84.5,61.5,73.5,3,51.0,61.0,0.0,29.425,30.095,6.85,27.5,8.25
103,2007-06-21,78.5,63.5,71.0,-1,51.0,60.5,0.0075,29.384999999999998,30.07,3.6,2.5,10.149999999999999
105,2007-06-22,75.5,61.5,69.0,-1,49.5,58.0,0.005,29.36,30.055,7.15,6.5,8.399999999999999
107,2007-06-23,67.5,61.5,65.0,-5,59.0,61.5,0.195,29.255000000000003,29.955,7.449999999999999,11.5,8.55
109,2007-06-24,76.0,64.0,70.0,-1,62.0,65.0,0.0,29.295,29.965,6.3,9.5,7.0
111,2007-06-25,87.5,66.0,77.0,6,66.5,70.0,0.0,29.41,30.064999999999998,3.95,13.0,6.35
113,2007-06-26,91.5,71.5,81.5,10,69.0,72.0,0.0825,29.42,30.1,6.699999999999999,21.5,7.6
115,2007-06-27,90.0,71.0,80.5,10,69.5,72.0,0.25,29.325,30.009999999999998,7.7,24.0,8.65
117,2007-06-28,73.5,59.5,66.5,-5,55.5,60.5,0.0,29.42,30.08,12.05,2.5,12.9
119,2007-06-29,70.5,56.0,63.5,-8,55.5,59.5,0.0,29.439999999999998,30.119999999999997,7.5,2.0,8.25
121,2007-06-30,78.0,56.0,67.5,-5,47.5,57.0,0.0,29.435000000000002,30.119999999999997,5.0,3.5,6.0
123,2007-07-01,75.5,57.5,67.0,-7,51.5,58.5,0.0,29.535,30.22,9.05,4.0,9.149999999999999
125,2007-07-02,78.0,55.5,67.0,-6,50.0,58.5,0.0,29.52,30.215,6.65,13.0,8.3
127,2007-07-03,83.0,61.5,72.5,0,56.5,63.0,0.245,29.345,30.055,6.550000000000001,21.0,7.35
129,2007-07-04,85.0,67.0,76.5,5,65.0,69.0,0.41000000000000003,29.205,29.89,3.8499999999999996,26.0,8.5
131,2007-07-05,88.5,70.5,79.5,8,60.0,67.0,0.0,29.265,29.93,5.35,32.0,7.5
133,2007-07-06,85.0,67.0,76.0,4,57.0,64.5,0.0,29.35,30.020000000000003,3.25,6.0,5.5
135,2007-07-07,89.0,66.0,77.5,5,62.5,68.5,0.0,29.21,29.905,7.9,22.5,8.35
137,2007-07-08,93.5,75.0,84.5,12,67.0,72.0,0.0,29.085,29.765,12.75,23.5,12.899999999999999
139,2007-07-09,93.5,71.0,82.5,9,66.5,70.5,0.27,29.134999999999998,29.795,4.85,23.5,8.8
141,2007-07-10,89.0,69.5,79.5,6,67.0,70.5,0.255,29.095,29.765,8.399999999999999,23.0,10.35
143,2007-07-11,77.0,62.5,70.0,-3,51.0,59.0,0.0,29.255000000000003,29.925,8.95,30.0,11.05
145,2007-07-12,80.0,60.5,70.5,-2,51.0,59.5,0.0,29.25,29.925,9.7,28.5,11.25
147,2007-07-13,76.0,58.5,67.5,-5,52.5,58.5,0.0,29.295,29.98,1.7,4.0,5.55
149,2007-07-14,84.5,61.5,73.5,0,55.0,62.0,0.0,29.11,29.79,8.350000000000001,25.5,13.55
151,2007-07-15,81.0,62.0,71.5,-3,52.5,61.0,0.0,29.22,29.884999999999998,1.65,19.0,5.7
153,2007-07-16,82.0,65.5,74.0,0,60.0,65.0,0.23,29.28,29.950000000000003,5.0,23.5,5.9
155,2007-07-17,83.0,68.5,76.0,2,65.5,69.0,0.11,29.21,29.895,5.75,23.0,6.95
157,2007-07-18,85.0,69.0,77.0,3,68.5,71.0,1.235,29.145,29.835,9.7,24.0,10.35
159,2007-07-19,82.5,63.0,73.0,-1,62.5,66.0,0.085,29.235,29.89,7.35,18.5,13.15
161,2007-07-20,74.5,60.0,67.5,-7,52.5,59.0,0.0,29.465,30.130000000000003,9.95,3.5,10.3
163,2007-07-21,74.5,58.0,66.5,-8,52.0,58.5,0.0,29.54,30.215,6.15,3.5,7.4
165,2007-07-22,81.0,59.5,70.5,-4,54.5,61.0,0.0,29.515,30.205,1.7999999999999998,17.0,3.4
167,2007-07-23,82.5,61.5,72.5,-2,55.0,63.0,0.0,29.395000000000003,30.095,3.05,10.5,3.95
169,2007-07-24,82.0,65.0,74.0,0,57.5,64.0,0.0025,29.35,30.035,2.1,20.5,5.050000000000001
171,2007-07-25,84.0,70.5,77.5,4,60.5,66.5,0.0025,29.32,29.994999999999997,6.1,24.0,6.8
173,2007-07-26,83.5,65.0,74.5,1,65.0,68.0,0.54,29.22,29.915,7.2,22.0,9.65
175,2007-07-27,83.0,70.0,77.0,3,67.5,70.0,0.10500000000000001,29.134999999999998,29.810000000000002,2.1,19.5,8.0
177,2007-07-28,80.0,68.0,74.0,-1,65.0,68.0,0.0,29.255000000000003,29.92,10.3,3.0,10.45
179,2007-07-29,85.0,65.0,75.0,0,56.5,64.0,0.0,29.310000000000002,29.979999999999997,5.55,5.0,6.300000000000001
181,2007-07-30,87.5,63.5,76.0,2,56.0,64.5,0.0,29.36,30.020000000000003,3.45,6.0,4.449999999999999
183,2007-07-31,90.0,68.5,79.5,6,60.5,68.0,0.0,29.36,30.03,3.65,5.5,4.95
185,2007-08-01,91.5,69.0,80.5,8,62.5,69.5,0.0,29.314999999999998,29.990000000000002,2.8,11.0,3.9
187,2007-08-02,91.0,71.5,81.5,8,66.0,71.5,0.0,29.285,29.96,6.0,24.5,6.550000000000001
189,2007-08-03,89.0,71.0,80.5,7,57.0,66.5,0.0,29.335,30.009999999999998,3.0,4.5,5.75
191,2007-08-04,81.0,66.0,74.0,0,58.0,64.5,0.025,29.335,30.020000000000003,5.800000000000001,8.5,6.35
193,2007-08-05,88.0,67.5,78.0,5,71.0,72.5,1.2,29.115,29.799999999999997,6.2,21.5,9.899999999999999
195,2007-08-06,86.5,74.5,80.5,8,72.0,74.0,0.155,29.15,29.82,2.1,10.0,4.75
197,2007-08-07,91.5,72.5,82.5,9,73.0,76.0,0.685,29.085,29.75,6.25,24.5,8.9
199,2007-08-08,87.0,73.5,80.5,7,71.5,73.5,0.075,29.155,29.82,2.25,3.5,6.65
201,2007-08-09,84.5,72.5,78.5,5,71.0,73.0,0.255,29.16,29.83,2.8,28.0,6.15
203,2007-08-10,86.0,71.5,79.0,5,68.5,72.0,0.0,29.29,29.950000000000003,3.75,4.0,5.65
205,2007-08-11,88.5,67.5,78.0,5,65.0,70.0,0.0,29.345,30.009999999999998,3.1500000000000004,19.5,3.9
207,2007-08-12,87.5,67.5,78.0,5,67.0,70.5,0.26,29.369999999999997,30.049999999999997,1.7999999999999998,6.0,6.0
209,2007-08-13,80.5,67.0,74.0,0,55.5,63.5,0.0,29.415,30.095,6.550000000000001,7.0,7.300000000000001
211,2007-08-14,84.0,65.0,75.0,3,66.5,69.5,0.43,29.259999999999998,29.925,6.15,24.0,8.5
213,2007-08-15,80.5,71.5,76.5,4,68.0,70.5,0.53,29.200000000000003,29.880000000000003,4.15,6.5,6.449999999999999
215,2007-08-16,77.0,66.0,71.5,-1,64.5,67.5,0.0,29.305,29.96,3.55,1.0,5.7
217,2007-08-17,79.5,62.5,71.5,-2,54.0,61.5,0.0,29.435000000000002,30.09,6.0,31.5,7.1
219,2007-08-18,68.5,59.5,64.5,-8,54.0,58.0,0.255,29.46,30.155,6.25,12.5,7.55
221,2007-08-19,68.5,62.0,65.5,-6,62.5,64.0,1.33,29.27,29.985,5.75,10.0,7.45
223,2007-08-20,77.0,68.0,72.5,2,68.5,69.5,0.6950000000000001,29.18,29.86,1.45,16.0,5.800000000000001
225,2007-08-21,86.0,69.0,77.5,7,70.0,72.0,0.0075,29.235,29.9,3.65,17.5,6.0
227,2007-08-22,90.0,69.5,80.0,9,70.5,73.0,0.625,29.259999999999998,29.935000000000002,5.199999999999999,21.0,8.95
229,2007-08-23,88.0,69.5,79.0,7,69.0,71.0,2.1550000000000002,29.18,29.865000000000002,8.15,21.0,10.399999999999999
231,2007-08-24,80.5,69.0,75.0,4,67.0,69.0,0.22,29.134999999999998,29.814999999999998,5.65,25.0,7.199999999999999
233,2007-08-25,77.5,64.5,71.5,2,63.0,66.0,0.29500000000000004,29.259999999999998,29.92,2.7,19.5,6.0
235,2007-08-26,78.5,60.5,70.0,0,55.0,61.5,0.0,29.41,30.075,3.6500000000000004,11.0,5.0
237,2007-08-27,79.0,61.5,70.5,0,59.5,64.0,0.0,29.384999999999998,30.064999999999998,6.45,16.5,7.35
239,2007-08-28,90.5,68.0,79.5,9,65.5,70.0,0.0,29.310000000000002,29.985,8.4,20.5,8.9
241,2007-08-29,85.5,68.5,77.5,7,64.5,69.0,0.005,29.365000000000002,30.03,5.449999999999999,3.0,8.5
243,2007-08-30,75.0,58.5,67.0,-4,54.0,60.5,0.0,29.490000000000002,30.165,9.95,2.5,10.4
245,2007-08-31,76.5,57.0,67.0,-2,53.0,59.5,0.0,29.494999999999997,30.18,3.45,5.0,4.9
247,2007-09-01,80.0,58.5,69.5,1,55.5,61.5,0.0,29.515,30.21,4.300000000000001,11.0,4.7
249,2007-09-02,84.5,61.5,73.0,5,56.5,63.0,0.0,29.439999999999998,30.14,4.5,21.0,5.5
251,2007-09-03,88.0,65.0,76.5,9,61.0,67.0,0.0,29.39,30.08,2.5,26.0,6.0
253,2007-09-04,89.5,65.0,77.5,8,59.5,66.5,0.0,29.310000000000002,29.994999999999997,2.5,23.0,4.65
255,2007-09-05,90.5,69.0,80.0,11,62.5,69.0,0.0025,29.275,29.950000000000003,6.4,19.0,6.6
257,2007-09-06,83.0,73.5,78.5,11,66.5,70.0,0.13,29.240000000000002,29.915,12.350000000000001,20.0,12.55
259,2007-09-07,84.0,70.5,77.5,10,67.5,70.0,0.43000000000000005,29.18,29.845,9.95,23.0,13.45
261,2007-09-08,78.0,66.0,72.0,5,57.5,63.5,0.0,29.32,29.990000000000002,7.2,5.0,8.3
263,2007-09-09,79.5,63.0,71.5,6,59.0,63.5,0.0,29.384999999999998,30.045,9.649999999999999,3.0,10.4
265,2007-09-10,73.5,54.5,64.0,-2,58.5,61.0,0.305,29.32,30.025,7.300000000000001,2.5,9.35
267,2007-09-11,71.0,50.5,61.0,-4,44.0,52.0,0.005,29.23,29.915,11.899999999999999,29.0,13.6
269,2007-09-12,66.5,46.0,56.5,-8,42.5,49.5,0.0,29.43,30.115000000000002,1.85,4.0,5.8
271,2007-09-13,78.5,51.5,65.0,-1,44.0,54.0,0.0,29.265,29.985,7.7,19.5,8.1
273,2007-09-14,66.5,46.0,56.5,-8,39.5,48.5,0.0,29.384999999999998,30.045,11.899999999999999,32.0,13.2
275,2007-09-15,61.5,40.5,51.0,-14,34.0,44.0,0.0,29.59,30.28,1.25,34.0,6.25
277,2007-09-16,71.5,46.5,59.5,-6,39.0,49.5,0.0,29.490000000000002,30.195,7.25,18.0,7.8
279,2007-09-17,80.0,53.5,67.0,2,48.5,57.0,0.0,29.425,30.12,11.149999999999999,17.0,11.55
281,2007-09-18,88.5,64.5,77.0,12,57.5,65.0,0.0,29.375,30.055,12.7,19.0,12.95
283,2007-09-19,84.0,66.5,75.5,12,59.0,65.0,0.0,29.439999999999998,30.1,4.25,25.5,9.35
285,2007-09-20,77.0,61.5,69.5,7,59.0,63.5,0.0,29.415,30.11,5.449999999999999,7.5,6.35
287,2007-09-21,89.0,66.0,77.5,14,59.0,66.0,0.0,29.205,29.895,10.05,21.5,11.95
289,2007-09-22,73.0,54.5,64.0,1,44.0,54.0,0.0,29.450000000000003,30.11,3.45,2.0,7.25
291,2007-09-23,83.5,52.5,68.0,6,50.0,58.5,0.0,29.46,30.155,5.25,12.5,5.85
293,2007-09-24,90.5,69.5,80.0,18,62.5,68.5,0.0,29.305,29.985,10.7,19.0,11.2
295,2007-09-25,84.0,65.0,74.5,13,65.5,69.0,0.14,29.259999999999998,29.939999999999998,7.6,23.0,9.95
297,2007-09-26,68.5,54.0,61.5,1,50.5,55.5,0.115,29.34,30.025,4.55,1.5,6.949999999999999
299,2007-09-27,74.5,50.5,62.5,2,49.0,55.0,0.005,29.285,29.97,4.7,24.5,6.15
301,2007-09-28,73.0,53.0,63.0,4,46.0,53.5,0.0,29.494999999999997,30.165,2.7,5.5,6.85
303,2007-09-29,81.0,51.0,66.0,6,45.5,55.0,0.0,29.535,30.23,8.95,17.0,9.3
305,2007-09-30,83.5,60.0,72.0,12,48.5,59.0,0.14,29.4,30.1,13.65,19.0,13.899999999999999
307,2007-10-01,68.5,59.0,64.0,6,59.0,61.0,0.22999999999999998,29.315,30.0,7.0,21.5,8.5
309,2007-10-02,79.0,58.0,69.0,10,59.0,63.0,0.1,29.215,29.92,10.4,19.0,10.7
311,2007-10-03,74.0,55.5,65.0,8,47.5,56.0,0.0025,29.310000000000002,29.975,5.35,25.5,7.1
313,2007-10-04,82.5,53.5,68.5,10,56.0,61.5,0.0,29.365000000000002,30.035,4.25,17.0,5.25
315,2007-10-05,84.5,65.0,75.0,16,65.0,68.5,0.03,29.39,30.07,6.9,17.5,7.0
317,2007-10-06,87.5,70.0,79.0,22,66.5,70.5,0.0,29.36,30.035,6.65,20.5,7.050000000000001
319,2007-10-07,87.5,68.5,78.0,21,65.5,70.0,0.0,29.345,30.020000000000003,5.25,19.0,5.9
321,2007-10-08,87.5,61.0,74.5,18,60.5,66.0,0.0,29.255000000000003,29.925,7.5,24.0,10.0
323,2007-10-09,76.5,49.5,63.5,8,44.0,53.0,0.0,29.240000000000002,29.935000000000002,11.8,28.0,13.05
325,2007-10-10,53.5,47.0,50.5,-4,37.5,44.0,0.005,29.235,29.93,14.75,31.0,15.05
327,2007-10-11,55.0,47.0,51.0,-4,39.0,45.0,0.0,29.310000000000002,30.005000000000003,13.25,36.0,14.2
329,2007-10-12,56.5,43.0,50.0,-5,35.0,43.0,0.0,29.310000000000002,30.02,3.0999999999999996,35.5,5.0
331,2007-10-13,59.0,42.0,51.0,-3,40.5,47.0,0.0,29.345,30.04,3.1500000000000004,20.5,4.1
333,2007-10-14,62.0,54.0,58.0,4,48.0,52.5,0.08,29.369999999999997,30.06,5.65,11.5,6.3
335,2007-10-15,75.5,53.0,64.5,10,51.0,57.0,0.05500000000000001,29.235,29.945,5.35,15.0,6.25
337,2007-10-16,67.5,54.0,61.0,8,54.5,57.5,0.215,29.195,29.88,6.45,21.0,7.4
339,2007-10-17,73.0,48.5,61.0,8,53.0,57.0,0.075,29.1,29.83,8.95,14.0,9.45
341,2007-10-18,78.5,59.5,69.5,18,56.5,61.5,0.32,28.630000000000003,29.34,16.35,19.0,18.049999999999997
343,2007-10-19,60.5,52.5,56.5,5,48.0,52.0,0.0075,28.785,29.445,16.95,24.0,17.35
345,2007-10-20,73.5,47.0,60.5,10,43.0,52.0,0.0,29.060000000000002,29.715,11.0,21.0,11.85
347,2007-10-21,79.5,60.5,70.0,20,46.5,56.5,0.0,29.115,29.78,17.35,20.0,17.5
349,2007-10-22,66.5,46.5,57.0,7,47.0,50.5,0.155,29.29,29.965,5.5,18.5,9.75
351,2007-10-23,55.5,44.5,50.5,2,37.5,44.5,0.015,29.23,29.93,4.6,31.0,8.05
353,2007-10-24,54.0,44.0,49.0,0,35.0,42.5,0.0,29.485,30.16,14.65,2.0,15.9
355,2007-10-25,56.0,45.0,50.5,2,39.5,46.0,0.005,29.494999999999997,30.2,14.2,6.0,14.399999999999999
357,2007-10-26,65.5,53.0,59.5,11,48.5,52.0,0.37,29.345,30.064999999999998,5.2,5.5,7.050000000000001
359,2007-10-27,56.0,38.0,47.0,-2,39.5,45.5,0.045,29.59,30.25,8.65,31.5,9.5
361,2007-10-28,56.0,34.0,45.0,-2,30.0,39.0,0.0,29.825,30.525,3.45,23.0,4.15
363,2007-10-29,60.5,39.0,50.0,3,32.0,42.0,0.0,29.665,30.405,9.649999999999999,22.0,9.850000000000001
365,2007-10-30,66.0,41.5,54.0,8,37.5,46.0,0.0,29.47,30.21,11.5,20.0,11.7
367,2007-10-31,62.5,42.0,52.5,6,37.5,46.0,0.0,29.33,30.025,12.2,25.0,14.65
369,2008-05-01,73.5,48.0,61.0,8,51.0,56.5,0.0025,28.98,29.67,10.2,16.5,10.95
371,2008-05-02,74.0,53.0,64.0,9,55.5,59.0,1.01,28.82,29.525,12.850000000000001,19.5,14.05
373,2008-05-03,56.0,43.5,50.0,-4,41.5,46.0,0.0075,29.045,29.69,10.8,25.0,12.7
375,2008-05-04,65.5,38.5,52.5,-2,33.5,45.0,0.0,29.345,30.02,5.35,23.5,5.949999999999999
377,2008-05-05,74.5,50.0,62.5,8,38.0,50.0,0.0,29.305,29.99,4.050000000000001,24.5,6.6
379,2008-05-06,81.5,49.0,65.5,9,43.5,55.0,0.0,29.195,29.88,6.6,22.0,7.95
381,2008-05-07,70.5,49.5,60.5,5,52.5,56.0,0.735,29.0,29.69,2.7,22.5,11.7
383,2008-05-08,59.0,46.0,52.5,-4,35.5,44.5,0.0,29.11,29.814999999999998,13.25,5.0,13.8
385,2008-05-09,58.0,41.5,50.0,-6,34.5,43.5,0.0,29.174999999999997,29.85,6.4,3.0,6.95
387,2008-05-10,61.0,39.5,50.5,-6,38.0,45.5,0.0,29.115,29.845,5.95,7.5,6.449999999999999
389,2008-05-11,59.0,46.5,53.0,-5,43.5,47.5,1.205,28.87,29.54,14.4,2.0,17.75
391,2008-05-12,54.5,40.5,47.5,-9,38.5,43.0,0.0,29.29,29.96,5.0,6.5,7.699999999999999
393,2008-05-13,73.0,42.5,58.0,-1,45.0,51.5,0.2,29.240000000000002,29.939999999999998,14.6,18.0,15.15
395,2008-05-14,62.5,45.5,54.5,-3,48.5,52.0,0.02,29.22,29.89,2.25,23.0,9.25
397,2008-05-15,57.0,43.0,50.0,-8,37.0,45.0,0.0,29.354999999999997,30.05,7.15,5.0,8.0
399,2008-05-16,72.5,40.5,57.0,-2,41.0,50.0,0.0,29.130000000000003,29.86,8.600000000000001,25.0,9.100000000000001
401,2008-05-17,73.0,51.0,62.5,4,41.0,52.0,0.19,28.905,29.61,12.05,29.5,14.399999999999999
403,2008-05-18,55.0,44.5,50.0,-10,39.5,45.5,0.0,28.955,29.634999999999998,2.55,34.5,8.05
405,2008-05-19,59.5,41.0,50.5,-10,33.5,43.5,0.005,28.990000000000002,29.69,4.15,7.0,5.95
407,2008-05-20,65.0,48.0,57.0,-4,37.0,47.0,0.0025,28.97,29.66,7.1,30.5,8.45
409,2008-05-21,65.5,43.0,54.5,-7,36.0,46.0,0.0,29.025,29.7,7.0,32.5,9.0
411,2008-05-22,57.5,46.0,52.0,-9,38.0,45.0,0.0,29.265,29.935000000000002,9.65,5.0,10.5
413,2008-05-23,58.0,47.0,53.0,-9,39.5,45.5,0.0,29.439999999999998,30.115000000000002,10.55,3.0,10.8
415,2008-05-24,67.5,42.0,55.0,-8,39.0,48.0,0.0,29.475,30.175,7.15,7.0,7.9
417,2008-05-25,78.0,47.5,63.0,-1,49.0,57.0,0.0025,29.22,29.93,10.7,17.5,12.15
419,2008-05-26,82.5,50.0,66.5,2,60.0,64.5,0.24,29.14,29.805,6.75,24.5,11.9
421,2008-05-27,51.5,43.5,47.5,-16,35.5,42.5,0.0025,29.52,30.185000000000002,18.6,2.5,18.35
423,2008-05-28,61.5,44.0,53.0,-10,33.5,43.5,0.0,29.630000000000003,30.335,8.0,6.5,8.6
425,2008-05-29,67.5,43.5,56.0,-9,37.5,47.5,0.045,29.425,30.165,2.85,10.5,4.0
427,2008-05-30,77.0,56.5,67.0,2,59.5,62.5,0.35,29.060000000000002,29.79,8.9,20.5,10.55
429,2008-05-31,79.0,59.5,69.5,5,56.0,62.0,0.0,29.125,29.795,10.95,28.0,12.100000000000001
431,2008-06-01,72.5,54.5,64.0,0,46.5,55.0,0.0,29.259999999999998,29.945,5.1,9.0,5.65
433,2008-06-02,85.5,58.5,72.0,7,52.5,60.5,0.0025,29.185000000000002,29.880000000000003,1.7999999999999998,10.5,5.25
435,2008-06-03,71.5,56.0,64.0,-2,56.5,58.5,0.72,28.994999999999997,29.68,6.25,3.5,7.949999999999999
437,2008-06-04,78.0,56.5,67.5,2,60.0,62.5,0.0125,28.924999999999997,29.61,3.8,4.5,4.75
439,2008-06-05,87.5,64.0,76.0,9,68.5,71.5,0.43,29.03,29.695,12.35,20.0,13.9
441,2008-06-06,86.5,73.0,80.0,14,68.5,72.0,0.017499999999999998,29.105,29.755000000000003,20.15,20.0,20.5
443,2008-06-07,84.5,70.5,77.5,11,71.0,73.0,0.09,29.195,29.855,12.15,19.0,12.8
445,2008-06-08,86.0,64.5,75.5,9,68.5,70.5,1.275,29.145,29.805,5.35,18.5,11.85
447,2008-06-09,74.0,65.0,70.0,4,64.0,66.0,0.175,29.135,29.810000000000002,6.4,22.5,8.25
449,2008-06-10,79.5,59.5,69.5,2,56.0,62.0,0.0075,29.215,29.884999999999998,9.05,25.0,10.0
451,2008-06-11,86.0,63.5,75.0,7,55.5,64.0,0.0,29.310000000000002,29.979999999999997,9.15,18.0,10.2
453,2008-06-12,91.0,73.0,82.0,14,63.0,69.5,0.0,29.23,29.895,15.450000000000001,18.0,15.7
455,2008-06-13,82.0,65.5,74.0,6,62.5,66.0,0.29000000000000004,29.245,29.915,9.25,22.5,10.350000000000001
457,2008-06-14,84.0,60.0,72.5,4,52.5,61.5,0.0,29.259999999999998,29.93,8.5,24.0,9.05
459,2008-06-15,81.5,60.5,71.0,3,60.0,64.0,0.235,29.189999999999998,29.835,8.25,24.0,9.75
461,2008-06-16,73.0,59.5,66.5,-3,49.0,57.0,0.0,29.225,29.9,10.75,31.0,11.35
463,2008-06-17,76.0,55.5,66.0,-3,46.0,55.0,0.0,29.29,29.965,10.45,30.0,11.0
465,2008-06-18,76.0,57.0,67.0,-3,48.5,56.0,0.0,29.235,29.915,4.9,4.0,7.4
467,2008-06-19,80.5,53.5,67.5,-3,46.5,56.5,0.0,29.240000000000002,29.925,1.65,19.5,5.25
